TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
79;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;9;CEI MUNICIPAL       ;7387;CEI MUN. JD. JULIETA - (MIST);R. SALVADOR NASCIMENTO, 223;(11)37313819 (11)37331716;5363110;JD. BONFIGLIOLI;;;MISTA;;;400089;23/03/1999;03/01/2012;
80;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;39;CEMEI               ;13312;CEMEI. PROFESSORA LEILA GALLACCI METZKER (MIST);EDVARD CARMILO, 670;(11)37518209 (11)37511492;5525001;JD CELESTE;;;MISTA;;;19520;02/02/2016;02/02/2016;
81;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;7;CEU GESTÃO          ;13090;CEU GESTÃO UIRAPURU;R. NAZIR MIGUEL, 849;(11)37887701;5570030;JARDIM PAULO VI;;;DIRETA;;;200256;17/04/2015;;
82;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;5;CIEJA               ;9847;CIEJA ALUNA JESSICA NUNES HERCULANO;R. ANTONIO MARIANI, 425;(11)37220656;5530000;JD.ADHEMAR DE BARROS;;;DIRETA;;;200158;;;
83;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6865;EMEF DES. ARTHUR WHITAKER - (MIST);R. ANDRÉ SARAIVA, 860;(11)37425772;5626000;VL. SONIA;;;MISTA;;;92720;02/03/1994;03/01/2012;
84;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6868;EMEF GAL. ALCIDES GONÇALVES ETCHEGOYEN - (MIST);R. ADHERBAL STRESSER, 686;(11)37821862;5566000;JD. ARPOADOR;;;MISTA;;;92754;01/03/1994;03/01/2012;
85;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6879;EMEF TEÓFILO BENEDITO OTTONI - (MIST);R. INACIO CERVANTES, 490;(11)37828893 (11)37829759;5572000;PQ. IPÊ;;;MISTA;;;99261;02/03/1994;03/01/2012;
86;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6877;EMEF GAL. EUCLYDES DE OLIVEIRA FIGUEIREDO - (MIST);R. MAL. OLÍMPIO MOURÃO FILHO, 187;(11)37684542 (11)37664380;5352080;VL. SÃO FRANCISCO;;;MISTA;;;92851;20/02/1998;03/01/2012;
87;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6876;EMEF GAL. ÁLVARO SILVA BRAGA - (MIST);R. PE. PAULO CANELLES, 611;(11)37615812;5386070;VL. DALVA;;;MISTA;;;92827;01/03/1994;03/01/2012;
88;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6875;EMEF BRASIL JAPÃO - (MIST);R. DR. PAULO CARVALHO FERREIRA, 94;(11)37682097 (11)37664383;5382040;JD. SARAH;;;MISTA;;;92819;21/02/1994;03/01/2012;
89;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6873;EMEF IBRAHIM NOBRE - (MIST);R. CEL. SALVADOR DE MOYA, 263;(11)37316153;5368020;VL. ALBA;;;MISTA;;;92801;02/03/1994;03/01/2012;
90;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6872;EMEF JÚLIO MESQUITA - (MIST);R. DR. JOSÉ AIRES NETO, 25;(11)37354382 (11)37310234;5594040;JD. BONFIGLIOLI;;;MISTA;;;92797;02/03/1994;03/01/2012;
91;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6871;EMEF CDE. LUIZ EDUARDO MATARAZZO - (MIST);AV. PE. TIAGO ALBERIONE, 150;(11)37895470 (11)37829747;5396070;PQ. DOS PRINCIPES;;;MISTA;;;92789;02/03/1994;03/01/2012;
92;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6870;EMEF SOLANO TRINDADE - (MIST);R. GABRIEL DE CARVALHO, 60;(11)37824889 (11)37811914;5583080;JD. BOA VISTA;;;MISTA;;;92771;02/03/1994;03/01/2012;
93;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6869;EMEF JOÃO XXIII - (MIST);R. CON. LUIS VIEIRA DA SILVA, 201;(11)37825911 (11)37820750;5569110;JD. JOÃO XXIII;;;MISTA;;;92762;02/03/1994;03/01/2012;
94;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6864;EMEF MAL. DEODORO DA FONSECA - (MIST);PÇA. IMPRENSA PAULISTA, 30;(11)37213843;5517020;CAXINGUI;;;MISTA;;;92711;28/02/1994;03/01/2012;
95;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6863;EMEF DES. THEODOMIRO DIAS - (MIST);PÇA. DR. JOSÉ ÓRIA, S/N;(11)37425858;5626070;VL. SONIA;;;MISTA;;;92703;21/02/1994;03/01/2012;
96;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6862;EMEF DES. AMORIM LIMA - (MIST);R. PROF. VICENTE PEIXOTO, 50;(11)37261119 (11)37268049;5587160;VL. INDIANA;;;MISTA;;;92690;02/03/1994;03/01/2012;
97;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6884;EMEF PROFA. MARIA ALICE BORGES GHION - (MIST);R. CACHOEIRA PORAQUE, 575;(11)37828909;5574450;COHAB RAPOSO TAVARES;;;MISTA;;;11924;20/03/1997;03/01/2012;
98;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6883;EMEF PROFA. EDA TEREZINHA CHICA MEDEIROS - (MIST);R. ENGENHEIRO HUGO TAKAHASHI, 333;(11)37820714 (11)37816437;5567120;CHB. EDUCANDÁRIO;;;MISTA;;;477;28/02/1994;03/01/2012;
99;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6882;EMEF PROF. ALIPIO CORREA NETO - (MIST);AV. JOÃO CAIAFFA, 140;(11)58450121;5742100;JD. TABOÃO;;;MISTA;;;191;02/03/1995;03/01/2012;
100;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6881;EMEF VIANNA MOOG - (MIST);R. FRANCISCO LEITE ESQUERDO, 310;(11)37511620 (11)37515579;5528040;JD. JAQUELINE;;;MISTA;;;99287;01/03/1994;03/01/2012;
101;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6880;EMEF PEDRO NAVA - (MIST);R. JOAQUINA DA LAPA, 453;(11)37828897;5374070;JD. ESTHER YOLANDA;;;MISTA;;;99589;21/02/1994;03/01/2012;
102;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;12244;EMEF VL. MUNCK - (MIST);R. JOAQUIM GUIMARÃES, 697;(11)37823682 (11)37823686;5574010;PQ. IPE;;;MISTA;;;19416;22/07/2009;03/01/2012;
103;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;12238;EMEF JD. PAULO VI - (MIST);R. HUGO TAKAHASHI, 20;(11)37830307 (11)37827949;5563120;JD. JOÃO XXIII;;;MISTA;;;19417;15/07/2009;03/01/2012;
104;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;12049;CEU EMEF UIRAPURU - DEP. CESAR ARRUDA CASTANHO - (MIST);R. FREI CLAUDIO D'ALBERVILLE, SN;(11)37830669;5569010;JARDIM PAULO VI;;;MISTA;;;19551;03/02/2009;03/01/2012;
105;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;9863;CEU EMEF BUTANTÃ - (MIST);AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 1870;(11)37324530 (11)37324532;5588001;JD. ESMERALDA;;;MISTA;;;19262;29/08/2003;03/01/2012;
106;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6878;EMEF ANEXA AO EDUCANDÁRIO D. DUARTE - (MIST);AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37821908 (11)37829743;5564200;JD. ESMERALDA;;;MISTA;;;97047;01/03/1994;03/01/2012;
107;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6866;EMEF TARSILA DO AMARAL - (MIST);R. NATAL PIGASSI, 7876;(11)37510223;5527000;JD. CELESTE;;;MISTA;;;92738;02/03/1995;03/01/2012;
108;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6861;EMEF JOSÉ ALCÂNTARA MACHADO FILHO - (MIST);R. MATTIA FILIZZOLA, 76;(11)37591520;5685060;REAL PARQUE;;;MISTA;;;92681;11/02/1994;03/01/2012;
109;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6874;EMEF PROF. ROBERTO MANGE - (MIST);R. JOSÉ CERQUEIRA BASTOS, 46;(11)37826700 (11)37818464;5373090;JD. ESTHER;;;MISTA;;;92843;02/03/1994;03/01/2012;
110;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;9729;EMEF DAISY AMADIO FUJIWARA - (MIST);R. AMARALINA, 141;(11)37820977 (11)37820687;5565090;JD. ARPOADOR;;;MISTA;;;19249;14/03/2003;03/01/2012;
111;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;9196;EMEF PROFA. ILEUSA CAETANO DA SILVA - (MIST);R.  D, 10;(11)37829767 (11)37829770;5564100;JD. EDUCANDÁRIO;;;MISTA;;;19160;02/04/1998;03/01/2012;
112;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2;EMEF                ;6867;EMEF TTE. ALÍPIO ANDRADA SERPA - (MIST);R. NICOLAU COPÉRNICO, 165;(11)37824068 (11)37829746;5546110;JD. BATAGLIA;;;MISTA;;;92746;02/03/1995;03/01/2012;
113;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;9034;EMEI CTE. MORENO (MIST);R. MARCOLINO VAZ FIGUEIRA, 381;(11)37829755;5549130;JD. GUARAU;;;MISTA;;;18384;;03/01/2012;
114;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;9035;EMEI PROF. CAMILLO ASCHAR - (MIST);R. JOSE PORFIRIO DE SOUZA, 495;(11)37824835 (11)37813780;5563090;JD. RAPOSO TAVARES;;;MISTA;;;18244;;03/01/2012;
115;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;9036;EMEI PROFA. MARIA APARECIDA VITA PIANTE - (MIST);R. JOÃO FRANCISCO DE MELLO, S/N;(11)37316049;5358110;VL. NOVA ALBA;;;MISTA;;;18236;;03/01/2012;
116;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6536;EMEI EMIR MACEDO NOGUEIRA - (MIST);PÇA. GAL. ARARIPE DE FARIA, 405;(11)37267849 (11)37261963;5590020;VL. GOMES;;;MISTA;;;90026;02/03/1995;03/01/2012;
117;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6538;EMEI DES. DALMO DO VALLE NOGUEIRA - (MIST);R. ABRAÃO KALIL RESEK, 45;(11)37425646;5625050;VL. SONIA;;;MISTA;;;90042;14/02/2000;03/01/2012;
118;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6540;EMEI ALUISIO DE ALMEIDA (MIST);R. JOSÉ XAVIER GUIMARÃES, 12;(11)37825295 (11)37829752;5545080;JD. CLAUDIA;;;MISTA;;;90069;02/03/1995;05/01/2012;
119;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6543;EMEI PROF. RONALDO PORTO MACEDO - (MIST);R. DR. FRANCISCO PATI, 345;(11)37142618;5352090;VL.SÃO FRANCISCO;;;MISTA;;;90093;02/03/1994;03/01/2012;
120;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;13310;EMEI PROF JORGE ADILSON CANDIDO (MIST);RUA SANTA EUFRÁSIA, S/N;;5524010;FERREIRA;;;MISTA;;;19519;01/02/2016;01/02/2016;
121;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6550;EMEI PROFA. CLYCIE MENDES CARNEIRO (MIST);R. JOAQUINA DA LAPA, 210;(11)37828891 (11)37814142;5374070;JD. ESTHER YOLANDA;;;MISTA;;;99023;02/03/1995;05/01/2012;
122;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6549;EMEI PROFA. MARIA JOSÉ GALVÃO DE FRANÇA PINTO - (MIST);R. INÁCIO CERVANTES, 480;(11)37828903;5572000;PQ. YPÊ;;;MISTA;;;99031;02/03/1994;03/01/2012;
123;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6547;EMEI PERO NETO - (MIST);R. PAULO BOURROUL, 100;(11)37582048;5686050;JD. REAL PARQUE;;;MISTA;;;97144;21/02/1994;03/01/2012;
124;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6546;EMEI FERNANDO PESSOA - (MIST);R. BARTOLOMEO BON, 105;(11)37510256;5528200;JD. DRACENA;;;MISTA;;;90123;02/03/1994;03/01/2012;
125;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6545;EMEI CAROLINA MARIA DE JESUS - (MIST);R. DOMINGOS DE ABREU, 458;(11)37120775;5387070;VL. DALVA;;;MISTA;;;90115;01/01/1990;03/01/2012;
126;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6544;EMEI DEP. GILBERTO CHAVES - (MIST);R. SARA NEWTON, 100;(11)37824787;5583030;JD. BOA VISTA;;;MISTA;;;90107;02/03/1994;03/01/2012;
127;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6541;EMEI PROFA. CAROLINA RIBEIRO - (MIST);R. MAJ. WALTER CARLSON, 879;(11)37821248 (11)37829748;5567050;JD. SÃO JORGE;;;MISTA;;;90077;02/03/1995;03/01/2012;
128;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6539;EMEI CEL. JOÃO NEGRÃO - (MIST);R. FRANCISCO LEITE ESQUERDO, 30;(11)37510224;5528040;JD. CELESTE;;;MISTA;;;90051;02/03/1994;03/01/2012;
129;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;12048;CEU EMEI UIRAPURU - (MIST);R. FREI CLAUDIO D'ALBERVILLE, SN;(11)37830835;5569010;JARDIM PAULO VI;;;MISTA;;;19378;03/02/2009;03/01/2012;
130;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6542;EMEI EDUCADORA NIDA MALDI CORAZZA - (MIST);R. PROFA. ABIGAIL ALVES PIRES, 76;(11)37685495 (11)37636982;5381000;RIO PEQUENO;;;MISTA;;;90085;02/03/1994;03/01/2012;
131;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;11081;EMEI RIO PEQUENO - (MIST);AV. BENEDITO DE LIMA, 407;(11)37662170;5376020;VILA ANTONIO;;;MISTA;;;19327;05/02/2007;03/01/2012;
132;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;9862;CEU EMEI BUTANTÃ - (MIST);AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 1780;(11)37324521 (11)37324522;5588001;JD. ESMERALDA;;;MISTA;;;19281;29/08/2003;03/01/2012;
133;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6548;EMEI OSCAR PEDROSO HORTA - (MIST);R. PAULO MARANHÃO, 36;(11)37828905;5398130;JD. D'ABRIL;;;MISTA;;;97152;28/02/1994;03/01/2012;
134;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6534;EMEI PROF. ANTONIO CARLOS PACHECO E SILVA (MIST);AV. JOÃO CAIAFFA, 90;(11)58448902 (11)58425113;5742100;JD. TABOÃO;;;MISTA;;;213;15/02/1995;03/01/2012;
135;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;9638;EMEI PROFA. MARIAZINHA REZENDE FUSARI - (MIST);R. EUDORO LINCOLN BERLINK, 118;(11)37827064;5565200;JD. ARPOADOR;;;MISTA;;;19242;16/08/2002;03/01/2012;
136;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;8687;EMEI PROF. BENEDICTO CASTRUCCI (MIST);R. CACHOEIRA PORAQUÊ, S/N;(11)37820084 (11)37814833;5574450;COHAB RAP. TAVARES;;;MISTA;;;14591;;05/01/2012;
137;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6537;EMEI ANTONIO BENTO - (MIST);R. JOÃO BATISTA DE SOUZA FILHO, 405;(11)37217397;5515040;JD. PREVIDÊNCIA;;;MISTA;;;90034;17/02/1995;03/01/2012;
138;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;1;EMEI                ;6535;EMEI MONTE CASTELO - (MIST);PÇA. MONTE CASTELO, 49;(11)38197850;5505050;BUTANTÃ;;;MISTA;;;90018;22/02/1994;03/01/2012;
139;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7745;CEI CONV. DA PARÓQUIA DE SÃO SEBASTIÃO;R. PROF. WASHINGTON PIRES, 123;(11)58430271 (11)58421897;5790420;JD. MARIA SAMPAIO;01/01/2013;31/12/2017;DIRETA;;;306259;27/03/2000;;
140;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7749;CEI CONV. JD. LUZITANIA;R. FREI XISTO TEUBER, 189;(11)58411200;5791080;JD. MITSUTANI;01/01/2013;31/12/2017;DIRETA;;;400341;27/03/2000;;
141;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7752;CEI CONV. CASA SÃO JOSÉ - LAR DA INFÂNCIA;R. ANTONIO CALDAS, 88;(11)58411663;5767300;JD. CATANDUVA;01/01/2013;31/12/2017;DIRETA;;;306224;28/02/2000;;
142;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7756;CEI CONV. SÃO JOSÉ OPERÁRIO I;R. FRANCISCO DE ABREU, 130;(11)58976394;5863100;JD. IMBE;01/01/2013;31/12/2017;DIRETA;;;306262;27/03/2000;;
143;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7771;CEI CONV. ABÍLIO CÉSAR;R. ABÍLIO CÉSAR, 1030;(11)58724517;5881020;JD. SÃO BENTO;01/01/2013;31/12/2017;DIRETA;;;306221;27/03/2000;;
144;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;8678;CEI CONV. JD. IRENE IRAPIRANGA;R. BICCI DI LORENZO, 100;(11)58216301;5891190;JD. IRAPIRANGA;01/01/2013;31/12/2017;DIRETA;;;400345;27/03/2000;;
145;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12812;CEI CONV CAMPO LIMPO IV;R. ANTONIO ANTUNES, 215;(11)23388641 (11)23388029;5786020;JD. PIRAJUSSARA;03/04/2013;23/01/2018;DIRETA;;;400759;19/04/2013;;
146;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12745;CEI CONV. BELEZINHA II;R. AMÉLIA DA SILVA LAGO, 209;(11)58422633 (11)94438868;5783010;CAMPO LIMPO;31/10/2012;30/11/2017;DIRETA;;;307877;03/12/2012;;
147;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12623;CEI CONV. SÃO JOSÉ OPERÁRIO II;R. PIETRO SOLARI, 8;(11)58341018;5870170;JD SÃO JOSÉ;08/12/2011;07/12/2016;DIRETA;;;307721;16/02/2012;;
148;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12579;CEI CONV CAMINHAR;RUA JOAQUIM XAVIER CURADO, 203;(11)58442162;5762140;PARQUE IPÊ;11/04/2014;10/04/2017;DIRETA;;;307643;08/11/2011;;
149;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12564;CEI CONV. CEDRO DO LÍBANO V;RUA FRANCISCO DE NÓBREGA, 162;(11)58931656;4902000;PQ. ALVES DE LIMA;27/06/2011;26/12/2018;DIRETA;;;307558;03/08/2011;;
150;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12546;CEI CONV. PÉRSIO GUIMARÃES AZEVEDO;RUA ARQUITETO ROBERTO PATRÃO DE ASSIS, 114;(11)55119275;5846100;JD. SÃO LUIZ;26/04/2016;25/10/2018;DIRETA;;;400601;13/05/2011;;
151;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12544;CEI CONV. CASA PADRE RAFAEL;ESTRADA DO CAMPO LIMPO, 5295;(11)58426185;5787000;PQ. ESMERALDA;09/04/2016;08/10/2018;DIRETA;;;307510;03/05/2011;;
152;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12494;CEI CONV. ANGLICANA RENATA EUGENIA RODRIGUES;R: DR. JOSÉ PEDRO DE CARVALHO LIMA, 333;(11)35014659;5712080;JARDIM MORUMBI;24/07/2015;23/01/2018;DIRETA;;;307398;18/11/2010;;
153;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12478; CEI CONV. BELEZINHA;R. CANTANHEDE - CONJ. HAB. STO AMARO C, 300;(11)58242959;5790150;JD MITSUTANI;13/08/2010;16/01/2018;DIRETA;;;400734;21/09/2010;;
154;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13091;CEI CONV UMA NOVA HISTÓRIA;R. DIOGO RODRIGUES, 96;(11)55129027;5762040;PARQUE IPE;06/03/2015;06/09/2017;DIRETA;;;308244;17/04/2015;;
155;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13078;CEI CONV. NOVO AMANHECER;ESTR. M BOI MIRIM, 6223;(11)59179737;4948030;PQ. DO LAGO;09/03/2015;08/09/2017;DIRETA;;;308249;27/03/2015;;
156;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13077;CEI CONV. CAMINHAR IV;R. GIÓRGIO MORANDI, 13;(11)58215487;5891260;JD. IRAPIRANGA;09/02/2015;08/08/2017;DIRETA;;;308234;20/03/2015;;
157;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13073;CEI CONV. CAMINHAR III;R. JOSÉ ANDREOTTI, 101;;4902010;PQ. ALVES DE LIMA;23/02/2015;22/08/2017;DIRETA;;;308241;11/03/2015;;
158;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13069;CEI CONV. JOSE REGINALDO DA FONSECA II;R. BERCO UDLER, 65;(11)35014799;5767330;JD. CATANDUVA;13/01/2015;12/07/2017;DIRETA;;;308236;04/03/2015;;
159;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13070;CEI CONV. REINO DO CARINHO;R. MANUEL VITOR DE JESUS, 250;(11)59276210;4942100;JD. NAKAMURA;05/02/2015;04/08/2017;DIRETA;;;308232;04/03/2015;;
160;SME            ;1;CAMPO LIMPO         ;CL;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;13063;CEI CONV. JD. THOMAZ;R. MICHEL JACOB CHEID, 64;(11)58978466;5833240;JD. THOMAZ;11/02/2015;10/07/2017;DIRETA;;;308235;02/03/2015;;
